url,category,percentage_score,Strict-Transport-Security,X-Content-Type-Options,X-Frame-Options,Content-Security-Policy,X-XSS-Protection,Referrer-Policy,Permissions-Policy,Cross-Origin-Opener-Policy,Cross-Origin-Embedder-Policy,Cross-Origin-Resource-Policy,Expect-CT
http://www.usatoday.com/sports/basketba/skw/maac/skwo01.htm,Sports,90.0,1,1,1,1,1,1,1,1,0,1,0
http://bbq.about.com/,Home,50.0,1,1,0,1,0,1,0,0,0,0,0
http://www.upyourtee.com/,Shopping,60.0,0,1,1,1,1,1,0,0,0,0,0
http://www.buckinghammusic.com/sitar/sittut/faq.html,Arts,15.0,0,0,1,0,0,0,0,0,0,0,0
http://www.geocities.com/talesonandoffcourt/,Arts,75.0,1,1,1,1,1,1,0,0,0,0,0
http://prostudies.pratt.edu/,Reference,85.0,1,1,1,1,0,1,1,1,1,1,0
http://en.wikipedia.org/wiki/john_wycliff,Society,30.0,1,1,0,0,0,0,0,0,0,0,0
http://www.geocities.com/zeljko_cizmesija/,Home,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.occ.org/,Society,45.0,1,1,1,0,0,0,0,0,0,0,0
http://www.par-ky.com,Business,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.trimble.com/,Business,65.0,1,1,1,0,1,1,0,0,0,0,0
http://www.simnet.is/kristinf/,Games,40.0,1,0,1,1,0,0,0,0,0,0,0
http://www.hoshizakiamerica.com/,Business,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.milano-pro-sport.com/,Shopping,25.0,0,0,1,0,0,1,0,0,0,0,0
http://www.srtechnics.com,Business,85.0,1,1,1,1,0,1,1,1,1,1,0
http://www.ricepaddymotorcycles.com,Shopping,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.horizonyachtcharters.com/,Recreation,40.0,0,1,1,0,1,0,0,0,0,0,0
http://www.ansana.co.za/,Business,30.0,1,1,0,0,0,0,0,0,0,0,0
http://www.geocities.com/eternalp_nuriko/main.html,Arts,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.fordham.edu/halsall/ancient/herodotus-creususandsolon.html,Society,85.0,1,1,1,1,1,1,1,0,0,0,1
http://www.norcostco.com,Shopping,45.0,1,1,1,0,0,0,0,0,0,0,0
http://www.displaycentre.com/,Business,30.0,1,1,0,0,0,0,0,0,0,0,0
http://www.meopta.com,Shopping,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.synaptive.net/en/,Business,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.library.yale.edu/southeastasia/southeas.htm,Reference,45.0,1,1,1,0,0,0,0,0,0,0,0
http://www.methodisthealth.com/urogen/stones.htm,Health,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.wascoelectric.com/,Business,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.alliedbingo.com,Shopping,65.0,1,1,1,1,1,0,0,0,0,0,0
http://www.cps-ecp.ca/,Recreation,60.0,0,1,1,1,1,1,0,0,0,0,0
http://www.shwcase.com/,Business,70.0,1,1,1,0,1,1,0,0,0,0,1
http://www.lexcoeng.com/,Business,85.0,1,1,1,1,0,1,1,1,1,1,0
http://www.tug.org.in/,Computers,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.siderealdesigns.com/,Computers,85.0,1,1,1,1,1,1,1,0,0,0,1
http://msdn.microsoft.com/en-us/library/ms978510.aspx,Computers,85.0,1,1,1,1,1,1,0,1,0,1,0
http://www.americanstair.com/,Business,70.0,1,1,1,0,1,1,1,0,0,0,0
http://www.tejascoach.com/,Business,0.0,0,0,0,0,0,0,0,0,0,0,0
http://thisisnews.pitas.com/,News,80.0,1,1,1,1,1,1,0,1,0,0,0
http://www.uoregon.edu/~altay/,Science,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.konkuk.ac.kr/,Reference,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.theeasyfrench.com,Reference,0.0,0,0,0,0,0,0,0,0,0,0,0
http://pauillac.inria.fr/algo/bsolve/constant/hrdyltl/goldbach.html,Science,30.0,1,0,1,0,0,0,0,0,0,0,0
http://www.chenghsin.com/,Society,0.0,0,0,0,0,0,0,0,0,0,0,0
http://tinpan.fortunecity.com/morrissey/184/index.htm,Arts,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.besecurenet.com/,Computers,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.aviationmuseum.co.uk/,Reference,0.0,0,0,0,0,0,0,0,0,0,0,0
http://music.yahoo.com/launchcast/stations/station.asp?i=530,Society,80.0,1,1,1,1,1,1,0,0,0,0,1
http://www.unitedfreezer.com,Business,30.0,1,1,0,0,0,0,0,0,0,0,0
http://www.guardian.co.uk/film/2001/jul/12/guardianinterviewsatbfisouthbank,Arts,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.health24.com/news/dietfood_news_feed/1-342035989.asp,Health,45.0,0,0,1,0,0,1,1,1,1,1,0
http://www.odscompanies.com/,Business,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.allcrafts.net,Arts,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.efgroup.com/,Business,35.0,1,0,0,1,0,1,0,0,0,0,0
http://www.geocities.com/petsburgh/zoo/8211/ibart.html,Recreation,75.0,1,1,1,1,1,1,0,0,0,0,0
http://groups.yahoo.com/group/jon_nkotb,Arts,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.geocities.com/ani_freaks/,Arts,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.respondus.com/,Computers,50.0,1,1,0,1,1,0,0,0,0,0,0
http://www.kostov.com/,Business,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.verchovyna.com.au/,Arts,80.0,1,1,1,1,1,1,1,0,0,0,0
http://tools.ietf.org/html/rfc2585,Computers,70.0,1,1,1,1,0,1,0,1,0,0,0
http://www.geocities.com/a_ymous/cvtunews.html,Recreation,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.eurogamer.net/article.php?article_id=4106,Games,60.0,1,1,1,0,0,1,0,1,0,0,0
http://www.imageaircharter.com,Business,85.0,1,1,1,1,0,1,1,1,1,1,0
http://www.gicare.com/pated/ecdgs01.htm,Health,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.advocatehealth.com/ssub/,Health,85.0,1,1,1,1,1,1,1,1,0,0,0
http://my.att.net/p/s/community.dll?ep=16&amp;ext=1&amp;groupid=189328&amp;ck=,Recreation,65.0,1,1,1,0,1,1,0,0,0,0,0
http://groups.yahoo.com/group/b2g/,Adult,75.0,1,1,1,1,1,1,0,0,0,0,0
http://www.grzyby.pl/gatunki/russula_emetica.htm,Science,0.0,0,0,0,0,0,0,0,0,0,0,0
http://www.mqpwg.org/,Society,45.0,0,0,1,0,0,1,1,1,1,1,0
http://www.williamtburnett.com/,Business,80.0,1,1,1,1,1,1,1,0,0,0,0
http://tomdelmundo.com/,Recreation,45.0,1,1,1,0,0,0,0,0,0,0,0
http://www.pinnipeds.org/species/hooded.htm,Science,30.0,0,0,1,0,0,1,0,1,0,0,0
http://www.gladdingbraid.com,Business,70.0,1,1,1,0,1,1,1,0,0,0,0
http://surveys.acm.org/,Computers,60.0,1,0,1,0,0,1,1,1,1,1,0
http://www.monofilaments.com/,Business,85.0,1,1,1,1,0,1,1,1,1,1,0
http://www.igods.com,Business,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.selsdonbaptist.org.uk/football/,Sports,80.0,1,1,1,1,1,1,1,0,0,0,0
http://www.vh1.com/artists/az/id_18363/artist.jhtml,Arts,55.0,1,1,1,0,1,0,0,0,0,0,0
